Date,Year,Locality,Estimated Value,Sale Price,Property,Residential,num_rooms,num_bathrooms,carpet_area,property_tax_rate,Face
1/2/2009,2009,Waterbury,111440,185000,Single Family,Detached House,3,3,996,1.025953,South
1/2/2009,2009,Unknown,73080,152000,Single Family,Detached House,3,1,935,1.025953,North
1/2/2009,2009,Waterbury,50540,105000,Single Family,Detached House,3,1,951,1.025953,East
1/2/2009,2009,Norwalk,571060,1000000,Single Family,Detached House,3,2,1111.658981,1.025953,South
1/2/2009,2009,Bridgeport,4775276,272900,Single Family,Detached House,3,1,971,1.025953,East
1/2/2009,2009,Greenwich,444584.207,5187000,Single Family,Detached House,3,2,1026,1.025953,South
1/3/2009,2009,Norwalk,444584.207,1340000,Single Family,Detached House,3,1,936,1.025953,North
1/3/2009,2009,Norwalk,172620,409000,Single Family,Detached House,3,3,1004,1.025953,South
1/4/2009,2009,Bridgeport,444584.207,410000,Two Family,Duplex,4,3,1498,1.025953,West
1/4/2009,2009,Waterbury,444584.207,176000,Single Family,Detached House,3,1,1008,1.025953,North
1/4/2009,2009,Norwalk,208880,370000,Single Family,Detached House,3,2,1063,1.025953,South
1/4/2009,2009,Waterbury,83300,220000,Two Family,Duplex,4,4,1471,1.025953,South
1/5/2009,2009,Bridgeport,444584.207,284280,Single Family,Detached House,3,3,1015,1.025953,South
1/5/2009,2009,Unknown,73990,195000,Single Family,Detached House,3,1,960,1.025953,North
1/5/2009,2009,Greenwich,2095100,2860000,Single Family,Detached House,3,1,963,1.025953,East
1/5/2009,2009,Norwalk,186410,340000,Single Family,Detached House,3,2,933,1.025953,East
1/5/2009,2009,Greenwich,1162140,1990000,Single Family,Detached House,3,1,1111.658981,1.025953,North
1/5/2009,2009,Unknown,71960,219000,Single Family,Triplex,6,4,1111.658981,1.025953,South
1/8/2009,2009,Greenwich,444584.207,3235000,Single Family,Detached House,3,1,1026,1.025953,West
1/8/2009,2009,Waterbury,56070,75000,Two Family,Duplex,4,2,1373,1.025953,West
1/8/2009,2009,Bridgeport,160904,399900,Two Family,Duplex,4,2,1284,1.025953,East
1/8/2009,2009,Norwalk,342090,850000,Single Family,Detached House,3,1,914,1.025953,East
1/8/2009,2009,Bridgeport,71050,280000,Two Family,Duplex,4,3,1295,1.025953,East
1/8/2009,2009,Bridgeport,60483,144500,Single Family,Detached House,3,1,1095,1.025953,East
1/8/2009,2009,Unknown,75250,205000,Single Family,Detached House,3,2,1043,1.025953,East
1/9/2009,2009,Bridgeport,135870,362560,Two Family,Duplex,4,2,1338,1.025953,West
1/9/2009,2009,Norwalk,154210,412000,Single Family,Detached House,3,1,955,1.025953,South
1/10/2009,2009,Bridgeport,444584.207,269900,Single Family,Detached House,3,1,1008,1.025953,West
1/10/2009,2009,Greenwich,2498720,4000000,Single Family,Detached House,3,2,1111.658981,1.025953,North
1/10/2009,2009,Bridgeport,121870,305000,Three Family,Triplex,6,6,1817,1.025953,South
1/11/2009,2009,Greenwich,693280,1820000,Single Family,Detached House,3,3,1111.658981,1.025953,East
1/12/2009,2009,Greenwich,2215010,2925000,Single Family,Detached House,3,2,1065,1.025953,West
1/12/2009,2009,Greenwich,1017400,1052000,Single Family,Detached House,3,2,984,1.025953,East
1/12/2009,2009,Bridgeport,444584.207,133000,Single Family,Detached House,3,3,1039,1.025953,South
1/12/2009,2009,Bridgeport,68838,145000,Single Family,Detached House,3,2,1111.658981,1.025953,East
1/16/2009,2009,Bridgeport,159460,384000,Three Family,Triplex,6,4,2131,1.025953,West
1/16/2009,2009,Bridgeport,93521,202500,Single Family,Detached House,3,2,952,1.025953,East
1/16/2009,2009,Unknown,186970,500000,Two Family,Duplex,4,2,1389,1.025953,West
1/16/2009,2009,Norwalk,212240,437000,Single Family,Detached House,3,3,967,1.025953,West
1/17/2009,2009,Waterbury,444584.207,265000,Three Family,Triplex,6,5,1892,1.025953,South
1/17/2009,2009,Bridgeport,115290,289900,Single Family,Detached House,3,1,963,1.025953,South
1/17/2009,2009,Bridgeport,444584.207,75000,Single Family,Detached House,3,3,977,1.025953,West
1/17/2009,2009,Greenwich,444584.207,2695000,Single Family,Detached House,3,1,983,1.025953,South
1/18/2009,2009,Bridgeport,128381,330000,Single Family,Detached House,3,3,959,1.025953,North
1/18/2009,2009,Greenwich,875700,1372500,Single Family,Detached House,3,1,1079,1.025953,East
1/18/2009,2009,Greenwich,1452500,2000000,Single Family,Detached House,3,2,973,1.025953,North
1/19/2009,2009,Bridgeport,444584.207,137000,Single Family,Detached House,3,1,1079,1.025953,North
1/19/2009,2009,Unknown,257600,450000,Single Family,Detached House,3,1,1111.658981,1.025953,East
1/22/2009,2009,Waterbury,53200,289000,Single Family,Detached House,3,3,999,1.025953,North
1/22/2009,2009,Bridgeport,417904,232677,Three Family,Triplex,6,5,1819,1.025953,West
1/23/2009,2009,Bridgeport,105560,224500,Single Family,Detached House,3,1,1062,1.025953,East
1/23/2009,2009,Fairfield,545860,720000,Single Family,Detached House,3,2,1056,1.025953,East
1/23/2009,2009,Norwalk,198310,422000,Single Family,Detached House,3,1,954,1.025953,East
1/24/2009,2009,Norwalk,423850,740000,Single Family,Detached House,3,2,1080,1.025953,West
1/24/2009,2009,Greenwich,1152270,1750000,Single Family,Detached House,3,3,1040,1.025953,South
1/24/2009,2009,Waterbury,60270,154000,Single Family,Detached House,3,2,1030,1.025953,East
1/26/2009,2009,Fairfield,451500,1000000,Single Family,Detached House,3,1,1064,1.025953,South
1/26/2009,2009,Unknown,7167580,105000,Single Family,Detached House,3,3,919,1.025953,East
1/26/2009,2009,Unknown,17500,29000,Single Family,Detached House,3,2,960,1.025953,South
1/26/2009,2009,Bridgeport,117670,249900,Single Family,Detached House,3,3,931,1.025953,North
1/26/2009,2009,Unknown,735350,1300000,Single Family,Detached House,3,3,1097,1.025953,West
1/27/2009,2009,Unknown,78050,82500,Single Family,Detached House,3,2,934,1.025953,North
1/29/2009,2009,Unknown,2501660,4475000,Single Family,Detached House,3,1,1111.658981,1.025953,West
1/29/2009,2009,Norwalk,350000,1600000,Single Family,Detached House,3,2,904,1.025953,East
1/29/2009,2009,Fairfield,352380,400000,Single Family,Detached House,3,2,955,1.025953,South
1/29/2009,2009,Norwalk,444584.207,510000,Single Family,Detached House,3,1,1080,1.025953,South
1/30/2009,2009,Waterbury,59010,129900,Single Family,Detached House,3,1,1046,1.025953,South
1/30/2009,2009,Norwalk,1954890,2700000,Single Family,Detached House,3,3,1034,1.025953,South
1/30/2009,2009,Norwalk,412440,712500,Single Family,Detached House,3,3,1041,1.025953,East
1/31/2009,2009,Greenwich,6246170,8500000,Single Family,Detached House,3,1,1080,1.025953,South
1/31/2009,2009,Greenwich,2540720,3845000,Single Family,Detached House,3,3,1111.658981,1.025953,East
1/31/2009,2009,Waterbury,62650,101555,Single Family,Detached House,3,3,936,1.025953,South
1/31/2009,2009,Waterbury,88480,220000,Single Family,Detached House,3,1,1057,1.025953,East
1/31/2009,2009,Fairfield,425180,565000,Single Family,Detached House,3,1,928,1.025953,West
1/31/2009,2009,Norwalk,234290,60000,Single Family,Detached House,3,3,1111.658981,1.025953,South
1/31/2009,2009,Fairfield,243740,340000,Single Family,Detached House,3,1,906,1.025953,West
2/1/2009,2009,Unknown,141820,235000,Single Family,Duplex,4,2,1356,1.025953,East
2/1/2009,2009,Unknown,120470,280000,Single Family,Detached House,3,1,959,1.025953,West
2/1/2009,2009,Unknown,46200,124900,Single Family,Detached House,3,3,915,1.025953,North
2/1/2009,2009,Waterbury,67270,200000,Two Family,Duplex,4,4,1300,1.025953,South
2/1/2009,2009,Greenwich,444584.207,970000,Single Family,Detached House,3,2,1018,1.025953,North
2/1/2009,2009,Bridgeport,85540,230000,Single Family,Detached House,3,3,1016,1.025953,North
2/1/2009,2009,Bridgeport,83161,190000,Single Family,Detached House,3,3,900,1.025953,South
2/1/2009,2009,Fairfield,717010,820000,Single Family,Detached House,3,2,958,1.025953,North
2/1/2009,2009,Greenwich,628460,800000,Single Family,Detached House,3,3,1025,1.025953,East
2/2/2009,2009,Unknown,95410,159000,Single Family,Detached House,3,1,947,1.025953,East
2/2/2009,2009,Greenwich,651630,770000,Single Family,Detached House,3,2,1029,1.025953,East
2/2/2009,2009,Unknown,324240,500000,Single Family,Duplex,4,2,1498,1.025953,South
